vreg1	V(vo)
1.611999999999974e+001	3.345722e+000
1.613999999999974e+001	3.345773e+000
1.615999999999974e+001	3.345824e+000
1.617999999999974e+001	3.345875e+000
1.619999999999974e+001	3.345926e+000
1.621999999999974e+001	3.345977e+000
1.623999999999974e+001	3.346028e+000
1.625999999999974e+001	3.346079e+000
1.627999999999974e+001	3.346130e+000
1.629999999999974e+001	3.346181e+000
1.631999999999974e+001	3.346232e+000
1.633999999999974e+001	3.346283e+000
1.635999999999974e+001	3.346334e+000
1.637999999999974e+001	3.346385e+000
1.639999999999974e+001	3.346436e+000
1.641999999999974e+001	3.346487e+000
1.643999999999974e+001	3.346538e+000
1.645999999999973e+001	3.346588e+000
1.647999999999973e+001	3.346639e+000
1.649999999999973e+001	3.346690e+000
1.651999999999973e+001	3.346741e+000
1.653999999999973e+001	3.346792e+000
1.655999999999973e+001	3.346843e+000
1.657999999999973e+001	3.346894e+000
1.659999999999973e+001	3.346945e+000
1.661999999999973e+001	3.346996e+000
1.663999999999973e+001	3.347047e+000
1.665999999999973e+001	3.347097e+000
1.667999999999973e+001	3.347148e+000
1.669999999999973e+001	3.347199e+000
1.671999999999973e+001	3.347250e+000
1.673999999999973e+001	3.347301e+000
1.675999999999973e+001	3.347352e+000
1.677999999999973e+001	3.347403e+000
1.679999999999973e+001	3.347453e+000
1.681999999999973e+001	3.347504e+000
1.683999999999973e+001	3.347555e+000
1.685999999999973e+001	3.347606e+000
1.687999999999973e+001	3.347657e+000
1.689999999999973e+001	3.347708e+000
1.691999999999973e+001	3.347758e+000
1.693999999999972e+001	3.347809e+000
1.695999999999972e+001	3.347860e+000
1.697999999999972e+001	3.347911e+000
1.699999999999972e+001	3.347961e+000
1.701999999999972e+001	3.348012e+000
1.703999999999972e+001	3.348063e+000
1.705999999999972e+001	3.348114e+000
1.707999999999972e+001	3.348165e+000
1.709999999999972e+001	3.348215e+000
1.711999999999972e+001	3.348266e+000
1.713999999999972e+001	3.348317e+000
1.715999999999972e+001	3.348368e+000
1.717999999999972e+001	3.348418e+000
1.719999999999972e+001	3.348469e+000
1.721999999999972e+001	3.348520e+000
1.723999999999972e+001	3.348571e+000
1.725999999999972e+001	3.348621e+000
1.727999999999972e+001	3.348672e+000
1.729999999999972e+001	3.348723e+000
1.731999999999972e+001	3.348773e+000
1.733999999999972e+001	3.348824e+000
1.735999999999972e+001	3.348875e+000
1.737999999999972e+001	3.348926e+000
1.739999999999971e+001	3.348976e+000
1.741999999999971e+001	3.349027e+000
1.743999999999971e+001	3.349078e+000
1.745999999999971e+001	3.349128e+000
1.747999999999971e+001	3.349179e+000
1.749999999999971e+001	3.349230e+000
1.751999999999971e+001	3.349280e+000
1.753999999999971e+001	3.349331e+000
1.755999999999971e+001	3.349382e+000
1.757999999999971e+001	3.349432e+000
1.759999999999971e+001	3.349483e+000
1.761999999999971e+001	3.349534e+000
1.763999999999971e+001	3.349584e+000
1.765999999999971e+001	3.349635e+000
1.767999999999971e+001	3.349686e+000
1.769999999999971e+001	3.349736e+000
1.771999999999971e+001	3.349787e+000
1.773999999999971e+001	3.349838e+000
1.775999999999971e+001	3.349888e+000
1.777999999999971e+001	3.349939e+000
1.779999999999971e+001	3.349989e+000
1.781999999999971e+001	3.350040e+000
1.783999999999971e+001	3.350091e+000
1.785999999999971e+001	3.350141e+000
1.787999999999970e+001	3.350192e+000
1.789999999999970e+001	3.350242e+000
1.791999999999970e+001	3.350293e+000
1.793999999999970e+001	3.350343e+000
1.795999999999970e+001	3.350394e+000
1.797999999999970e+001	3.350445e+000
1.799999999999970e+001	3.350495e+000
1.801999999999970e+001	3.350546e+000
1.803999999999970e+001	3.350596e+000
1.805999999999970e+001	3.350647e+000
1.807999999999970e+001	3.350697e+000
1.809999999999970e+001	3.350748e+000
1.811999999999970e+001	3.350798e+000
1.813999999999970e+001	3.350849e+000
1.815999999999970e+001	3.350899e+000
1.817999999999970e+001	3.350950e+000
1.819999999999970e+001	3.351001e+000
1.821999999999970e+001	3.351051e+000
1.823999999999970e+001	3.351102e+000
1.825999999999970e+001	3.351152e+000
1.827999999999970e+001	3.351203e+000
1.829999999999970e+001	3.351253e+000
1.831999999999970e+001	3.351304e+000
1.833999999999969e+001	3.351354e+000
1.835999999999969e+001	3.351405e+000
1.837999999999969e+001	3.351455e+000
1.839999999999969e+001	3.351506e+000
1.841999999999969e+001	3.351556e+000
1.843999999999969e+001	3.351607e+000
